System,Activation,Initial (%),Final (%),Improvement (%),F_h,F_safe,F_depth,F_unsafe,Iterations,Timestamp
simple_2d,Relu,65.63,65.97,+0.34,0,0,697,0,10,2026-04-08 17:32:42
simple_2d,Tanh,80.32,0.00,-80.32,0,0,2048,0,10,2026-04-08 17:36:16
simple_2d,Sigmoid,100.00,100.00,-0.00,0,0,0,0,10,2026-04-08 17:36:20
barr1,Relu,52.44,50.59,-1.86,74,0,837,0,10,2026-04-08 17:42:58
barr1,Tanh,71.39,0.00,-71.39,0,0,2048,0,10,2026-04-08 17:44:58
barr1,Sigmoid,70.61,70.61,+0.00,54,0,63,0,10,2026-04-08 17:51:28
barr2,Relu,71.09,72.41,+1.32,0,0,565,0,10,2026-04-08 17:56:57
barr2,Tanh,89.65,0.00,-89.65,0,0,2048,0,10,2026-04-08 17:59:35
barr2,Sigmoid,93.36,92.97,-0.39,11,0,13,0,10,2026-04-08 18:09:45
barr3,Relu,53.22,48.63,-4.59,5,0,1044,0,10,2026-04-08 18:18:51
barr3,Tanh,70.21,0.00,-70.21,0,0,2048,0,10,2026-04-08 18:22:05
barr3,Sigmoid,88.33,88.38,+0.05,33,0,27,0,10,2026-04-08 18:36:59
