System,Activation,Initial (%),Final (%),Improvement (%),F_h,F_safe,F_depth,F_unsafe,Iterations,Timestamp
simple_2d,Relu,96.26,96.84,+0.58,0,0,0,0,10,2026-04-12 15:56:19
simple_2d,Tanh,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
simple_2d,Sigmoid,100.00,100.00,-0.00,0,0,0,0,10,2026-04-12 16:23:57
barr1,Relu,86.54,91.87,+5.33,0,0,0,0,10,2026-04-12 16:03:24
barr1,Tanh,95.11,92.36,-2.75,0,0,0,0,10,2026-04-12 16:36:53
barr1,Sigmoid,71.95,91.58,+19.63,0,0,0,0,10,2026-04-12 16:25:25
barr2,Relu,97.69,97.87,+0.18,0,0,0,0,10,2026-04-12 16:08:20
barr2,Tanh,100.00,100.00,-0.00,0,0,0,0,10,2026-04-12 16:36:58
barr2,Sigmoid,93.98,94.79,+0.80,0,0,0,0,10,2026-04-12 16:27:03
barr3,Relu,93.08,92.84,-0.23,0,0,0,0,10,2026-04-12 16:20:19
barr3,Tanh,99.96,97.97,-1.99,0,0,0,0,10,2026-04-12 16:40:44
barr3,Sigmoid,89.08,90.72,+1.65,0,0,0,0,10,2026-04-12 16:29:02
