System,Act,orig_h(%),orig_std(%),final_h(%),final_std(%),h_imp(%),std_imp(%),Iters,Timestamp
simple_2d,Relu,90.95,96.26,89.92,96.28,-1.03,+0.02,6,2026-04-14 11:40:44
simple_2d,Tanh,100.00,100.00,47.05,80.32,-52.95,-19.68,0,2026-04-14 11:55:38
simple_2d,Sigmoid,100.00,100.00,100.00,100.00,+0.00,+0.00,0,2026-04-14 11:15:57
barr1,Relu,85.53,86.54,89.68,90.01,+4.15,+3.47,12,2026-04-14 11:45:01
barr1,Tanh,95.29,95.11,96.76,96.58,+1.47,+1.47,12,2026-04-14 11:58:38
barr1,Sigmoid,54.80,71.95,90.59,91.51,+35.79,+19.56,18,2026-04-14 11:20:21
barr2,Relu,97.62,97.69,97.82,97.88,+0.20,+0.19,6,2026-04-14 11:47:18
barr2,Tanh,100.00,100.00,89.44,89.65,-10.56,-10.35,0,2026-04-14 11:58:46
barr2,Sigmoid,85.28,93.98,92.75,92.86,+7.47,-1.13,14,2026-04-14 11:23:42
barr3,Relu,91.80,93.08,91.60,93.06,-0.21,-0.02,8,2026-04-14 11:55:07
barr3,Tanh,99.94,99.96,99.95,99.97,+0.01,+0.01,6,2026-04-14 12:01:06
barr3,Sigmoid,81.07,89.08,91.94,91.85,+10.87,+2.77,16,2026-04-14 11:28:14
